Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.1,,
Horizontal Delay,0,,
Sample Interval,0.0001,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,1,5
Vertical Position,1.98,0,-2.04
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-4.678e-01,0.118937,2.08406,1.56875
-4.677e-01,0.118703,2.01406,1.57266
-4.676e-01,0.116344,2.00547,1.58281
-4.675e-01,0.114719,2.11969,1.57266
-4.674e-01,0.121563,2.06969,1.57266
-4.673e-01,0.119328,2.03469,1.56953
-4.672e-01,0.1145,2.12172,1.57656
-4.671e-01,0.117516,2.06844,1.57266
-4.670e-01,0.124391,2.02937,1.57031
-4.669e-01,0.122141,1.99141,1.5625
-4.668e-01,0.117547,2.08234,1.56328
-4.667e-01,0.117219,2.04141,1.5625
-4.666e-01,0.116812,1.97891,1.56797
-4.665e-01,0.116656,1.93016,1.56719
-4.664e-01,0.114766,1.87391,1.56719
-4.663e-01,0.113844,2.01547,1.57812
-4.662e-01,0.120516,1.95359,1.56797
-4.661e-01,0.118375,1.93578,1.57969
-4.660e-01,0.114687,2.06594,1.57812
-4.659e-01,0.114344,2.00312,1.57578
-4.658e-01,0.1175,2.00375,1.56953
-4.657e-01,0.124391,2.09266,1.57266
-4.656e-01,0.120844,1.99469,1.575
-4.655e-01,0.117469,2.00219,1.56797
-4.654e-01,0.124469,2.1,1.57031
-4.653e-01,0.121141,1.98438,1.57031
-4.652e-01,0.117922,2.01328,1.56875
-4.651e-01,0.125188,2.10109,1.57422
-4.650e-01,0.121953,1.99953,1.57812
-4.649e-01,0.119047,2.02672,1.56953
-4.648e-01,0.125922,2.10766,1.57422
-4.647e-01,0.122922,2.01375,1.57109
-4.646e-01,0.120203,2.02828,1.56953
-4.645e-01,0.127141,2.10047,1.57266
-4.644e-01,0.124047,2.00203,1.56953
-4.643e-01,0.115344,2.00281,1.57891
-4.642e-01,0.113328,2.05688,1.56641
-4.641e-01,0.12025,2.09156,1.57422
-4.640e-01,0.117422,1.99219,1.57578
-4.639e-01,0.115203,2.05453,1.57969
-4.638e-01,0.122328,2.09422,1.57266
-4.637e-01,0.1195,2.01281,1.58281
-4.636e-01,0.117812,2.09078,1.57578
-4.635e-01,0.121063,2.09156,1.58125
-4.634e-01,0.116516,1.9275,1.58281
-4.633e-01,0.123063,2.10688,1.57734
-4.632e-01,0.122812,2.04281,1.57344
-4.631e-01,0.120312,2.0025,1.57812
-4.630e-01,0.115641,2.04625,1.57422
-4.629e-01,0.118844,2.02156,1.57578
-4.628e-01,0.125391,2.01156,1.58047
-4.627e-01,0.123094,1.91484,1.57422
-4.626e-01,0.118344,1.96922,1.57656
-4.625e-01,0.116297,1.97609,1.58281
-4.624e-01,0.115312,2.06828,1.58047
-4.623e-01,0.121766,2.00984,1.58047
-4.622e-01,0.119734,1.94203,1.58125
-4.621e-01,0.115859,2.03187,1.58359
-4.620e-01,0.115719,1.99984,1.58438
-4.619e-01,0.118688,1.97063,1.58516
-4.618e-01,0.122594,2.055,1.5875
-4.617e-01,0.115672,1.98719,1.58359
-4.616e-01,0.118922,1.99016,1.58047
-4.615e-01,0.123094,2.08234,1.58594
-4.614e-01,0.116344,1.99766,1.58516
-4.613e-01,0.119297,2.00953,1.58047
-4.612e-01,0.123391,2.09219,1.58281
-4.611e-01,0.116859,2.01453,1.58906
-4.610e-01,0.12025,2.01594,1.59688
-4.609e-01,0.127203,2.07609,1.58047
-4.608e-01,0.124094,1.99016,1.58828
-4.607e-01,0.121141,2.02547,1.57734
-4.606e-01,0.128,2.11031,1.57891
-4.605e-01,0.125,2.02609,1.57656
-4.604e-01,0.116391,2.00359,1.58125
-4.603e-01,0.114047,2.04297,1.58047
-4.602e-01,0.121,2.11031,1.57578
-4.601e-01,0.120797,2.01078,1.57578
-4.600e-01,0.118109,1.95828,1.57734
-4.599e-01,0.115906,2.00766,1.58047
-4.598e-01,0.122688,2.06203,1.58047
-4.597e-01,0.12,1.99594,1.57266
-4.596e-01,0.117875,2.03719,1.57812
-4.595e-01,0.124844,2.05328,1.58047
-4.594e-01,0.122484,1.99734,1.57266
-4.593e-01,0.116875,2.055,1.56719
-4.592e-01,0.12,2.03891,1.58047
-4.591e-01,0.127141,2.03797,1.57969
-4.590e-01,0.124531,2.01656,1.58125
-4.589e-01,0.119437,2.10484,1.58203
-4.588e-01,0.118937,1.98875,1.57969
-4.587e-01,0.116828,1.96938,1.575
-4.586e-01,0.115375,2.05328,1.575
-4.585e-01,0.122031,2.01672,1.57734
-4.584e-01,0.119734,1.97844,1.58203
-4.583e-01,0.115422,2.08984,1.57969
-4.582e-01,0.115141,2.02906,1.57812
-4.581e-01,0.118188,2.02984,1.575
-4.580e-01,0.122,2.13422,1.58047
-4.579e-01,0.114922,2.02703,1.57422
-4.578e-01,0.118109,2.02297,1.57734
-4.577e-01,0.121688,2.13422,1.58203
-4.576e-01,0.114953,2.06578,1.57969
-4.575e-01,0.118031,2.02047,1.57266
-4.574e-01,0.122063,2.11844,1.57578
-4.573e-01,0.115578,2.05063,1.57109
-4.572e-01,0.118344,2.01156,1.58047
-4.571e-01,0.125297,2.08859,1.57109
-4.570e-01,0.122203,1.99063,1.56406
-4.569e-01,0.119078,2,1.57422
-4.568e-01,0.125922,2.08016,1.56719
-4.567e-01,0.122781,1.99578,1.57109
-4.566e-01,0.119969,2.04359,1.56797
-4.565e-01,0.127016,2.08,1.57344
-4.564e-01,0.123922,1.98625,1.56875
-4.563e-01,0.120953,2.02328,1.56484
-4.562e-01,0.127859,2.08828,1.57734
-4.561e-01,0.125172,1.99594,1.56641
-4.560e-01,0.1165,2.03344,1.57109
-4.559e-01,0.110938,2.07703,1.56172
-4.558e-01,0.114031,1.98094,1.56641
-4.557e-01,0.118734,2.02391,1.56328
-4.556e-01,0.116547,2.07063,1.57344
-4.555e-01,0.123406,2.08891,1.57422
-4.554e-01,0.120688,2.04563,1.57656
-4.553e-01,0.115422,2.1075,1.58281
-4.552e-01,0.118641,2.02047,1.58125
-4.551e-01,0.125875,1.99047,1.58516
-4.550e-01,0.123094,1.93609,1.57969
-4.549e-01,0.117703,1.99281,1.58438
-4.548e-01,0.115594,1.99859,1.58516
-4.547e-01,0.113969,2.06813,1.57656
-4.546e-01,0.120531,2.05406,1.58281
-4.545e-01,0.118594,1.99719,1.59141
-4.544e-01,0.114328,2.11578,1.59375
-4.543e-01,0.113766,2.07734,1.59141
-4.542e-01,0.117063,2.03766,1.58359
-4.541e-01,0.123922,2.16297,1.58828
-4.540e-01,0.123672,2.06656,1.59688
-4.539e-01,0.120281,1.98516,1.58906
-4.538e-01,0.116437,2.00844,1.59141
-4.537e-01,0.123344,2.14234,1.59141
-4.536e-01,0.123078,2.06109,1.59453
-4.535e-01,0.119969,1.97437,1.57891
-4.534e-01,0.116281,1.98562,1.59922
-4.533e-01,0.123234,2.11703,1.59375
-4.532e-01,0.119734,2.03078,1.59063
-4.531e-01,0.116687,2.03953,1.59063
-4.530e-01,0.123578,2.16094,1.59531
-4.529e-01,0.123078,2.07094,1.59453
-4.528e-01,0.119969,1.98922,1.59297
-4.527e-01,0.116703,2.03063,1.58828
-4.526e-01,0.123531,2.13594,1.59141
-4.525e-01,0.120594,2.05953,1.59453
-4.524e-01,0.117953,2.06016,1.59297
-4.523e-01,0.124828,2.145,1.59219
-4.522e-01,0.124641,2.10953,1.60156
-4.521e-01,0.124422,2.06859,1.59688
-4.520e-01,0.121328,1.98531,1.60391
-4.519e-01,0.118375,2.00422,1.6
-4.518e-01,0.125578,2.10219,1.59766
-4.517e-01,0.122469,2.02203,1.60078
-4.516e-01,0.119594,2.05453,1.59141
-4.515e-01,0.123672,2.08828,1.60391
-4.514e-01,0.118828,1.95312,1.60391
-4.513e-01,0.124719,2.15375,1.59375
-4.512e-01,0.124797,2.08328,1.60078
-4.511e-01,0.121719,2.0575,1.59063
-4.510e-01,0.11625,2.09813,1.59141
-4.509e-01,0.119359,2.05766,1.59297
-4.508e-01,0.126422,2.07656,1.59688
-4.507e-01,0.123609,2.03297,1.60313
-4.506e-01,0.118078,2.09391,1.59922
-4.505e-01,0.118,2.05609,1.58906
-4.504e-01,0.121063,1.98672,1.59297
-4.503e-01,0.125766,2.04406,1.59297
-4.502e-01,0.120609,2.08922,1.59141
-4.501e-01,0.120188,2.03141,1.59063
-4.500e-01,0.120109,1.96906,1.59453
-4.499e-01,0.117953,1.97219,1.58828
-4.498e-01,0.116219,2.07938,1.58047
-4.497e-01,0.122937,2.06219,1.58906
-4.496e-01,0.120859,2.03922,1.59063
-4.495e-01,0.116172,2.14172,1.58203
-4.494e-01,0.115594,2.09031,1.58906
-4.493e-01,0.115719,2.01359,1.57969
-4.492e-01,0.113594,2.00328,1.58906
-4.491e-01,0.112344,2.12156,1.59922
-4.490e-01,0.119203,2.07469,1.59531
-4.489e-01,0.118719,1.95172,1.59531
-4.488e-01,0.116969,1.97406,1.58047
-4.487e-01,0.115969,2.12453,1.58672
-4.486e-01,0.122531,2.07563,1.58906
-4.485e-01,0.119125,1.96016,1.58281
-4.484e-01,0.115281,1.96328,1.58359
-4.483e-01,0.122328,2.10578,1.58438
-4.482e-01,0.119125,2.01203,1.57812
-4.481e-01,0.115547,1.99875,1.57578
-4.480e-01,0.122406,2.12016,1.57344
-4.479e-01,0.119203,2.04,1.57031
-4.478e-01,0.116141,2.04188,1.57734
-4.477e-01,0.123125,2.16672,1.57656
-4.476e-01,0.122984,2.07297,1.57031
-4.475e-01,0.119703,2.00016,1.58047
-4.474e-01,0.116672,2.02047,1.57891
-4.473e-01,0.123797,2.14969,1.58281
-4.472e-01,0.123531,2.07359,1.57734
-4.471e-01,0.120375,1.97984,1.58047
-4.470e-01,0.117437,2.01094,1.57891
-4.469e-01,0.124453,2.11687,1.57734
-4.468e-01,0.121609,2.03766,1.57422
-4.467e-01,0.118797,2.07609,1.58516
-4.466e-01,0.126047,2.16,1.57422
-4.465e-01,0.125828,2.07297,1.57891
-4.464e-01,0.122734,2.04078,1.57344
-4.463e-01,0.120063,2.06984,1.57344
-4.462e-01,0.127016,2.14234,1.57578
-4.461e-01,0.127,2.05,1.57344
-4.460e-01,0.12425,2.00844,1.57266
-4.459e-01,0.118344,2.00188,1.57109
-4.458e-01,0.11575,1.96891,1.56953
-4.457e-01,0.113516,2.08734,1.57734
-4.456e-01,0.12025,2.10422,1.575
-4.455e-01,0.120203,1.99813,1.57812
-4.454e-01,0.117688,1.985,1.57344
-4.453e-01,0.115687,2.08766,1.56641
-4.452e-01,0.123,2.09391,1.55781
-4.451e-01,0.120312,2.04766,1.56875
-4.450e-01,0.115063,2.12562,1.57344
-4.449e-01,0.115078,2.06937,1.57344
-4.448e-01,0.117922,1.99141,1.56797
-4.447e-01,0.123047,2.00937,1.575
-4.446e-01,0.118109,2.13453,1.57656
-4.445e-01,0.117797,2.07844,1.57891
-4.444e-01,0.117641,2.00219,1.57891
-4.443e-01,0.115422,1.99922,1.57578
-4.442e-01,0.114016,2.11453,1.56641
-4.441e-01,0.120859,2.08656,1.57109
-4.440e-01,0.120781,1.97297,1.56641
-4.439e-01,0.118594,1.99469,1.56719
-4.438e-01,0.117375,2.12953,1.57422
-4.437e-01,0.12425,2.08203,1.57578
-4.436e-01,0.120469,1.95703,1.56719
-4.435e-01,0.116609,1.96922,1.57891
-4.434e-01,0.123719,2.13875,1.56875
-4.433e-01,0.123641,2.06891,1.57031
-4.432e-01,0.120109,1.98125,1.57266
